title,url,playlist_title,channel_title,embed_code
Lập trình OOP MVC,https://www.youtube.com/watch?v=EZXrbh18Yl4,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EZXrbh18Yl4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Bắt đầu với Laravel,https://www.youtube.com/watch?v=pRfdZuPXNUY,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pRfdZuPXNUY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình Laravel MVC,https://www.youtube.com/watch?v=UHp1OYRQses,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/UHp1OYRQses"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình Laravel CRUD,https://www.youtube.com/watch?v=ZZT4EHDF3VY,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZZT4EHDF3VY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Sử dụng Ajax,https://www.youtube.com/watch?v=619yVxnU6gc,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/619yVxnU6gc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình OPP MVC CRUD,https://www.youtube.com/watch?v=1a8Vp41Ecro,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1a8Vp41Ecro"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Bài 1 Hello world với machine learning - Chương trình đầu tiên | Tự học machine learning cơ bản,https://www.youtube.com/watch?v=WgtTRwYwrJI,Khóa tự học machine learning cơ bản,Son Nguyen,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WgtTRwYwrJI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[LINUX UBUNTU ] Cài đặt môi trường và công cụ trên linux ubuntu | Tự học machine learning cơ bản,https://www.youtube.com/watch?v=coULvqO3D5Q,Khóa tự học machine learning cơ bản,Son Nguyen,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/coULvqO3D5Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
[ WINDOWS ] Cài đặt môi trường và công cụ trên windows | Tự học machine learning cơ bản,https://www.youtube.com/watch?v=oUvkPWUZPws,Khóa tự học machine learning cơ bản,Son Nguyen,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oUvkPWUZPws"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lộ trình học Machine Learning/Deep Learning từ đầu cho các bạn Lập Trình Viên,https://www.youtube.com/watch?v=4EouNcl7BI8,Khóa tự học machine learning cơ bản,Son Nguyen,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4EouNcl7BI8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
